timestep;mesh  1  face  centerpoint;mesh  1  color  code;mesh  1  normal;Mesh  1  face  centerpoint  to  Mesh  1  face  n+1  centerpoint  distance;Mesh  1  face  centerpoint  vector  to  Mesh  1  face  n+1  centerpoint  vector  angle
156;(534.25,  101.5,  25);(18,178,90);(0,  0.99,  -0.12);1.68;0.05
156;(535,  102.5,  25);(26,179,79);(-0.7,  -0.7,  0.17);1.25;0.09
156;(533.5,  104.5,  25);(41,181,59);(-0.89,  -0.44,  0.11);2.5;0.24
156;(478,  104.25,  25);(34,180,68);(0.02,  -1,  0.04);55.5;1.25
156;(422.75,  104.25,  25);(26,179,79);(-0.21,  -0.04,  -0.98);55.25;1.59
156;(363.75,  91.75,  25);(18,178,90);(0.2,  0.98,  -0.01);1.6;0.22
156;(506,  102.75,  25);(38,74,162);(0.63,  0.76,  0.15);2.15;0.18
156;(508,  103.25,  25);(38,74,162);(-0.96,  0.27,  0.03);2.06;0.01
156;(506.75,  102.75,  25);(35,86,169);(0.78,  -0.61,  -0.11);1.35;0.03
156;(507.25,  98.5,  25);(33,90,171);(0.66,  0.75,  -0.05);4.28;0.47
156;(368,  98.5,  25);(23,179,83);(-0.83,  0.55,  -0.01);5.37;0.6
156;(371,  103.5,  25);(22,178,85);(-0.98,  0,  0.2);5.83;0.6
156;(342.25,  99.75,  25);(18,178,94);(0.14,  -0.94,  0.31);28.99;0.72
156;(314,  95,  25);(18,178,92);(0.4,  0.4,  0.82);28.65;0.68
156;(321,  94.75,  25);(30,180,74);(-0.04,  0.98,  -0.22);7.0;0.4
156;(326.75,  94.75,  25);(23,179,83);(0.24,  -0.71,  0.67);5.75;0.28
156;(361.25,  99,  25);(18,178,92);(-0.13,  0.99,  0.04);34.76;0.93
156;(397.5,  104.25,  25);(16,180,110);(-0.19,  0.25,  0.95);36.63;0.71
156;(465.25,  108.25,  25);(49,182,49);(-0.05,  1,  -0.01);67.87;1.67
156;(532.5,  110.75,  25);(30,180,74);(0.83,  0.55,  -0.1);67.3;1.4
156;(534.25,  109.5,  25);(16,180,110);(0.37,  0.93,  0.02);2.15;0.17
156;(415.5,  126,  25);(80,186,8);(-0.95,  0.3,  0.01);10.59;1.14
156;(300.25,  86,  25);(15,148,204);(0.89,  -0.45,  0.1);0.79;0.12
156;(353.75,  87,  25);(10,164,213);(-0.03,  1,  -0.02);53.51;2.26
156;(408.5,  87.25,  25);(16,179,103);(0.22,  0.17,  -0.96);54.75;1.83
156;(468.5,  88.5,  25);(14,181,125);(-0.04,  0.99,  0.15);60.01;1.42
156;(220,  99.75,  25);(22,179,84);(-0.45,  -0.89,  0.07);47.9;3.37
156;(217.75,  99.5,  25);(8,186,174);(0.8,  -0.6,  0.09);2.26;0.18
156;(216.75,  99,  25);(86,189,9);(-0.89,  -0.45,  -0.06);1.12;0.03
156;(254.25,  98,  25);(1,192,229);(0.04,  0.99,  0.14);37.51;3.53
156;(291,  95.25,  25);(24,179,82);(0.29,  -0.23,  -0.93);36.85;3.0
156;(289,  94,  25);(22,179,84);(0,  -0.99,  -0.16);2.36;0.11
156;(288,  95.25,  25);(1,192,229);(-0.33,  0,  0.94);1.6;0.28
156;(325,  93.75,  25);(1,192,229);(0.07,  0.98,  -0.17);37.03;2.26
156;(362,  91,  25);(18,178,90);(0,  0,  0);37.1;2.01
156;(362.5,  92.5,  25);(24,179,82);(-0.94,  0.31,  0.12);1.58;0.2
156;(362.75,  93,  25);(1,192,229);(0.96,  -0.24,  -0.15);0.56;0.06
156;(504.25,  104,  25);(35,86,169);(0,  1,  0.04);1.12;0.12
156;(370.25,  86.5,  25);(19,178,89);(0.98,  0.16,  -0.09);0.9;0.1
156;(370.5,  85.5,  25);(18,178,89);(-1,  0,  0.02);1.03;0.15
156;(364.25,  87.5,  25);(5,188,194);(-0.23,  -0.96,  -0.15);6.56;0.51
156;(358,  88,  25);(3,190,211);(0.87,  0,  0.5);6.27;0.31
156;(512.5,  99.25,  25);(7,187,179);(-0.66,  0.72,  0.19);5.3;0.04
156;(516.75,  100.75,  25);(38,74,162);(0.7,  0.7,  -0.14);4.51;0.08
156;(518.25,  98,  25);(33,90,171);(0.95,  0.16,  -0.28);3.13;0.32
156;(520,  96.75,  25);(62,46,146);(-0.16,  0.99,  0.01);2.15;0.17
